出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1100717,11006,1452,宏益,紡織纖維," $162,515.00 ",165986,65767,-2.091140217,147.1072118,1004251,517994,93.87309506,去年同期受新冠肺炎疫情影響，營收大幅減少。
1100717,11006,1453,大將,建材營造, $38.00 ,38,56,0,-32.14285714,16172,46235,-65.02216935,"本月營收較去年減少,係因去年出售待售房地金額較大所致"
1100717,11006,1454,台富,紡織纖維," $163,692.00 ",127550,61594,28.33555468,165.7596519,786009,631986,24.37126772,去年同期受新冠肺炎疫情影響，營收偏低
1100717,11006,1455,集盛,紡織纖維," $923,139.00 ",934445,503149,-1.209916046,83.47229151,5107158,3428368,48.96761375,因去年度受疫情影響，營收過度萎縮，致基期較低，本年景氣已回穩。
1100717,11006,1456,怡華,建材營造," $184,154.00 ",602756,24958,-69.44800218,637.8555974,1388994,244232,468.7190868,本月認列建設收入較去年本月增加所致
1100717,11006,1457,宜進,紡織纖維," $381,444.00 ",374574,170335,1.834083519,123.9375349,2064098,1372032,50.44095181,"109年因台南廠停止生產及疫情影響,致營業額大幅降低,今年已恢復正常。"
1100717,11006,1459,聯發,紡織纖維," $187,016.00 ",193385,85472,-3.293430204,118.8038188,1273460,808239,57.55983069,去年同期受新型冠狀病毒疫情影響，致去年同期營業收入大幅減少。
1100717,11006,1460,宏遠,紡織纖維," $720,402.00 ",744338,455077,-3.215743385,58.3033201,4347585,3036191,43.1920785,109年因疫情影響造成營收減少
1100717,11006,1463,強盛,紡織纖維," $25,946.00 ",41311,14585,-37.19348358,77.8950977,219821,266130,-17.4008943,去年同期因受疫情影響營業額較本年度同期減少.
1100717,11006,1464,得力,紡織纖維," $888,247.00 ",873158,483742,1.72809503,83.61998751,5047939,3994101,26.38486107,去年度受疫情影響故營收大幅衰退。
1100717,11006,1465,偉全,紡織纖維," $44,120.00 ",30467,37502,44.81242,17.64705882,164114,218773,-24.9843445,-
1100717,11006,1466,聚隆,紡織纖維," $353,163.00 ",294480,143682,19.92766911,145.7948804,1692633,1105842,53.06282453,"去年同期受新冠肺炎疫情影響,全球需求減少,造成營收銳減"
1100717,11006,1467,南緯,紡織纖維," $547,855.00 ",465008,800319,17.81625262,-31.54542126,3126456,2521262,24.00361406,-
1100717,11006,1468,昶和,紡織纖維," $84,741.00 ",101263,72359,-16.31592981,17.11190039,544512,505062,7.810922223,-
1100717,11006,1470,大統新創,紡織纖維," $84,433.00 ",73372,25867,15.07523306,226.4120308,436234,293869,48.44505545,"2020年Q2受COVID-19疫情影響,出貨量銳減,造成兩年度明顯差異"
1100717,11006,1471,首利,電子零組件業," $23,511.00 ",29005,117960,-18.9415618,-80.06866734,224934,412030,-45.40834405,本月營收較去年同期減少，主要係因為客戶需求減少所致。
